year,period_start,period_end,geo_level,geo_code,geo_name,dataset,metric,dimension,dimension_value,value,unit,source_org,tier,as_of_date,retrieved_on,source_table,source_edition,source_url,notes
2022,2022-01-01,2022-12-31,state,TG,Telangana,cac_police,chargesheeting_rate_pct,none,,76.4,percent,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,TG,Telangana,cac_police,chargesheeting_rate_pct,none,,72.6,percent,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,TG,Telangana,cac_police,chargesheeting_rate_pct,none,,68.2,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,TG,Telangana,cac_police,pendency_pct,none,,27.8,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.4 (PDF p. 504),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,TN,Tamil Nadu,cac_police,chargesheeting_rate_pct,none,,93.3,percent,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,TN,Tamil Nadu,cac_police,chargesheeting_rate_pct,none,,93.7,percent,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,TN,Tamil Nadu,cac_police,chargesheeting_rate_pct,none,,93.6,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,TN,Tamil Nadu,cac_police,pendency_pct,none,,43.2,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.4 (PDF p. 504),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,TR,Tripura,cac_police,chargesheeting_rate_pct,none,,83.0,percent,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,TR,Tripura,cac_police,chargesheeting_rate_pct,none,,86.4,percent,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,TR,Tripura,cac_police,chargesheeting_rate_pct,none,,89.2,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,TR,Tripura,cac_police,pendency_pct,none,,29.7,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.4 (PDF p. 504),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,UP,Uttar Pradesh,cac_police,chargesheeting_rate_pct,none,,71.4,percent,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,UP,Uttar Pradesh,cac_police,chargesheeting_rate_pct,none,,72.7,percent,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,UP,Uttar Pradesh,cac_police,chargesheeting_rate_pct,none,,70.5,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,UP,Uttar Pradesh,cac_police,pendency_pct,none,,9.2,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.4 (PDF p. 504),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,UT,Uttarakhand,cac_police,chargesheeting_rate_pct,none,,65.6,percent,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,UT,Uttarakhand,cac_police,chargesheeting_rate_pct,none,,58.9,percent,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,UT,Uttarakhand,cac_police,chargesheeting_rate_pct,none,,56.1,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,UT,Uttarakhand,cac_police,pendency_pct,none,,14.9,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.4 (PDF p. 504),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,WB,West Bengal,cac_police,chargesheeting_rate_pct,none,,79.9,percent,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,WB,West Bengal,cac_police,chargesheeting_rate_pct,none,,85.7,percent,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,WB,West Bengal,cac_police,chargesheeting_rate_pct,none,,77.2,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,WB,West Bengal,cac_police,pendency_pct,none,,36.9,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.4 (PDF p. 504),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,aggregate,IN-STATES,Total (States),cac_rate,rate_per_lakh_children,none,,35.5,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,aggregate,IN-STATES,Total (States),cac_rate,rate_per_lakh_children,none,,38.8,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,aggregate,IN-STATES,Total (States),cac_rate,rate_per_lakh_children,none,,41.3,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,aggregate,IN-UTS,Total (UTs),cac_rate,rate_per_lakh_children,none,,78.2,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,aggregate,IN-UTS,Total (UTs),cac_rate,rate_per_lakh_children,none,,81.7,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,aggregate,IN-UTS,Total (UTs),cac_rate,rate_per_lakh_children,none,,80.1,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,country,IN,India,cac_rate,rate_per_lakh_children,none,,36.6,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,country,IN,India,cac_rate,rate_per_lakh_children,none,,39.9,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,country,IN,India,cac_rate,rate_per_lakh_children,none,,42.3,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,AN,Andaman & Nicobar,cac_rate,rate_per_lakh_children,none,,130.0,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,AN,Andaman & Nicobar,cac_rate,rate_per_lakh_children,none,,143.4,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,AN,Andaman & Nicobar,cac_rate,rate_per_lakh_children,none,,122.9,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,AP,Andhra Pradesh,cac_rate,rate_per_lakh_children,none,,21.9,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,AP,Andhra Pradesh,cac_rate,rate_per_lakh_children,none,,18.8,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,AP,Andhra Pradesh,cac_rate,rate_per_lakh_children,none,,17.4,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,AR,Arunachal Pradesh,cac_rate,rate_per_lakh_children,none,,24.3,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,AR,Arunachal Pradesh,cac_rate,rate_per_lakh_children,none,,29.9,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,AR,Arunachal Pradesh,cac_rate,rate_per_lakh_children,none,,25.8,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,AS,Assam,cac_rate,rate_per_lakh_children,none,,33.8,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,AS,Assam,cac_rate,rate_per_lakh_children,none,,84.2,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,AS,Assam,cac_rate,rate_per_lakh_children,none,,48.6,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,BR,Bihar,cac_rate,rate_per_lakh_children,none,,17.1,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,BR,Bihar,cac_rate,rate_per_lakh_children,none,,20.9,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,BR,Bihar,cac_rate,rate_per_lakh_children,none,,28.1,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,CH,Chandigarh,cac_rate,rate_per_lakh_children,none,,69.1,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,CH,Chandigarh,cac_rate,rate_per_lakh_children,none,,90.7,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,CH,Chandigarh,cac_rate,rate_per_lakh_children,none,,78.7,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,CT,Chhattisgarh,cac_rate,rate_per_lakh_children,none,,63.4,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,CT,Chhattisgarh,cac_rate,rate_per_lakh_children,none,,60.6,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,CT,Chhattisgarh,cac_rate,rate_per_lakh_children,none,,71.4,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,DH,Dadra and Nagar Haveli and Daman and Diu,cac_rate,rate_per_lakh_children,none,,55.7,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,DH,Dadra and Nagar Haveli and Daman and Diu,cac_rate,rate_per_lakh_children,none,,64.0,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,DH,Dadra and Nagar Haveli and Daman and Diu,cac_rate,rate_per_lakh_children,none,,43.7,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,DL,Delhi,cac_rate,rate_per_lakh_children,none,,134.9,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,DL,Delhi,cac_rate,rate_per_lakh_children,none,,140.3,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
